% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 11 2020, 11:52"
% Table,Probe Table 1 - 
% B_app (T),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0,0,0,0,0,0,0,0,NaN,1800,0,60,0,0,0,5.5,0.5
0.5,0,0,4.192376355452792E8,-1.1863870014169015E7,103387.34980653587,3689.7240644733783,-1.175679294029813E7,0.43002770658303596,1800,0.5,60,-2.422785043291326E-4,387.0249359247344,-0.002555462202184091,5.5,0.5
1,0,0,1.6769520603830814E9,-4.745548579736515E7,413549.9148887277,14758.915945808869,-4.702717696653E7,0.4300278988675394,1800,1,60,-4.825583369962007E-4,774.0502179615606,-0.007635980971327196,5.5,0.5
1.5,0,0,3.7731402275985765E9,-1.0677483560515916E8,930487.2585751377,33207.54429809606,-1.0581114080228537E8,0.43002779337331337,1800,1.5,60,-7.236205720194417E-4,1161.0750421079554,-0.010993879915629745,5.5,0.5
2,0,0,6.707805140097802E9,-1.8982193126661128E8,1654199.5492091943,59035.63422125396,-1.881086960831793E8,0.43002780217679804,1800,2,60,-9.658270471621336E-4,1548.1000878364832,-0.013313687411426191,5.5,0.5
2.5,0,0,1.048094613886536E10,-2.965967692948492E8,2584684.6437973767,92243.11782763802,-2.9391984153322065E8,0.4300278129844823,1800,2.5,60,-0.0012082336906280213,1935.1251584301817,-0.016203804026580407,5.5,0.5
3,0,0,1.509256085932422E10,-4.2709934233813816E8,3721953.869731476,132830.25736159406,-4.2324455821103936E8,0.4300277954144357,1800,3,60,-0.0014502566080388305,2322.1500952379815,-0.018575153398899178,5.5,0.5
3.5,0,0,2.054265343414771E10,-5.81329664982302E8,5065989.025189534,180796.69272519523,-5.760828792643878E8,0.4300278054894102,1800,3.5,60,-0.001691159355462899,2709.1751745832585,-0.022345717493033292,5.5,0.5
4,0,0,2.6831221994694786E10,-7.592877305469202E8,6616795.993559483,236142.50585437496,-7.524347920475012E8,0.43002781262796297,1800,4,60,-0.0019318470624672243,3096.20025092135,-0.026613184820913568,5.5,0.5
4.5,0,0,3.395825736165882E10,-9.609735060276824E8,8374384.500145279,298867.9247434425,-9.523002536027968E8,0.43002776345499444,1800,4.5,60,-0.0021733460951881317,3483.2248839854224,-0.029452433083908255,5.5,0.5
5,0,0,4.1923764591136635E10,-1.1863870076323996E9,1.0338707344941266E7,368971.83596776164,-1.1756793284514823E9,0.43002770553797326,1800,5,60,-0.0024159004952806758,3870.2493498417844,-0.031096994953431642,5.5,0.5
5.5,0,0,5.072778309109303E10,-1.4355283815504386E9,1.2509887799212521E7,446457.10082249145,-1.422572036650397E9,0.430027830388393,1800,5.5,60,-0.0026552615555547904,4257.275520845051,-0.035805397223338906,5.5,0.5
6,0,0,6.0370239349542694E10,-1.7083973578076754E9,1.4887794467021545E7,531320.7249164687,-1.6929782426157565E9,0.43002777764504446,1800,6,60,-0.0028977991528545553,4644.299998566554,-0.039965431718242114,5.5,0.5
6.5,0,0,7.085118939455312E10,-2.0049941415777054E9,1.7472481754005674E7,623563.9051170938,-1.9868980959185836E9,0.43002779477673786,1800,6.5,60,-0.003139203480187492,5031.32519888787,-0.04365696146288235,5.5,0.5
7,0,0,8.217060119462299E10,-2.325318616195667E9,2.02639476784086E7,723186.5550216183,-2.3043314819622307E9,0.43002777223741984,1800,7,60,-0.0033853932319878603,5418.349930191502,-0.040837015089589285,5.5,0.5
7.5,0,0,9.432848621224356E10,-2.6693708231987557E9,2.3262171913121436E7,830188.4005633752,-2.64527846288506E9,0.43002774864705373,1800,7.5,60,-0.0036278815213313465,5805.374606735115,-0.04473236220090522,5.5,0.5
8,0,0,1.0732486725813167E11,-3.037150848870768E9,2.6467193125227638E7,944570.2300680755,-3.0097390855154595E9,0.4300277725691115,1800,8,60,-0.003863487498234855,6192.399924995245,-0.05336207566260062,5.5,0.5
8.5,0,0,1.2115971403479309E11,-3.4286585761531787E9,2.987897935317376E7,1066331.2073394805,-3.3977132655926147E9,0.43002777370301726,1800,8.5,60,-0.00410521901712852,6579.424937656209,-0.05627112035069597,5.5,0.5
9,0,0,1.3583300620977765E11,-3.843893944484311E9,3.3497534333535925E7,1195471.7042215073,-3.8092009384465523E9,0.4300277268947202,1800,9,60,-0.004347081750670699,6966.449175694477,-0.057657592598506315,5.5,0.5
9.5,0,0,1.513448075120937E11,-4.2828571570069504E9,3.73228247025677E7,1331990.1482296078,-4.2442023421561265E9,0.43002773516019294,1800,9.5,60,-0.004592396438516739,7353.474271239332,-0.058000524908829086,5.5,0.5
10,0,0,1.6769506750359183E11,-4.745548095413493E9,4.1354924574175194E7,1475890.5403871094,-4.702717280298985E9,0.4300277204473571,1800,10,60,-0.004830097664942106,7740.498968052338,-0.0668322367437616,5.5,0.5
