% Model,Evan_segmented_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 10 2020, 08:12"
% Table,Probe Table 1 - 
% chan_len (mm),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
40,0,0,1.8512788453283247E12,-1.4577183427897902E9,2.5361243793106938E-5,3.7598638355277954E-5,-1.457718342789728E9,0.29577729653623636,1800,6,60,-8.809518485047808E-9,3194.394802591371,1.113663523512409E-4,4,0
80,0,0,4.1881295823576543E12,-1.6968496943414884E9,4.784623181627158E7,112539.40962214932,-1.6488909231156194E9,0.4716136068924072,1800,6,60,0.013281631178202332,5083.255003791795,-0.011479127709413261,8,1.3333333333333335
120,0,0,5.801389900830482E12,-1.611413625044202E9,8.860323737189886E7,117090.07083439309,-1.5226932976014721E9,0.5865279922547593,1800,6,60,-0.04039021301894841,6317.549939136916,-0.00710026091174688,12,2.666666666666666
160,0,0,6.856832133766771E12,-1.458176436508726E9,1.082742874497545E8,115396.93005475501,-1.349786752128888E9,0.6635647648650314,1800,6,60,0.007805888455464853,7147.173199798473,-0.030372281175683764,16,4
200,0,0,7.554404192413434E12,-1.3056081162894876E9,1.1582264435730484E8,100183.73646755915,-1.1896852881957142E9,0.7179249635378616,1800,6,60,0.004434242969562321,7734.000164920376,-0.011078359159523979,20,5.333333333333334
240,0,0,8.02497140841347E12,-1.1703478210098436E9,1.1709392929740493E8,94695.26428117811,-1.0531591964481685E9,0.7579982171356267,1800,6,60,-0.015278039018116226,8167.452211541189,-0.021203509918620758,24,6.666666666666666
280,0,0,8.347932967228062E12,-1.0542831849563779E9,1.1517006263343653E8,81634.32101889997,-9.39031488001921E8,0.788613126846654,1800,6,60,-0.005215167249855718,8499.105149803032,-0.047721492843953404,28.000000000000004,8
320,0,0,8.572760784600932E12,-9.554640460878723E8,1.1160512528459665E8,71870.79776575268,-8.437870500055132E8,0.8126743816055911,1800,6,60,4.917233328086373E-4,8760.10532755297,0.010267222241423339,32,9.333333333333334
360,0,0,8.73071488996681E12,-8.71132202136785E8,1.0721707301670572E8,63706.90475363459,-7.638514222153035E8,0.8320346367416392,1800,6,60,-0.004616065667720267,8970.345034650765,-0.02818403889203614,36,10.666666666666668
400,0,0,8.842798709074635E12,-7.987960113410194E8,1.0244432134888263E8,59817.756418137295,-6.96291872235701E8,0.8479106604928774,1800,6,60,0.005620136631001794,9142.90842454129,2.1293856894050316E-4,40,12
440,0,0,8.92224636851755E12,-7.36300481132981E8,9.756648772710437E7,54153.73585602114,-6.386798396700182E8,0.8611482802505422,1800,6,60,-0.0028510832782639513,9286.888704956427,-0.011200374870594675,44,13.333333333333332
480,0,0,8.979161042153219E12,-6.819741041642269E8,9.273240846414353E7,50623.57862225133,-5.891910721214694E8,0.8723340676955936,1800,6,60,-0.010482374425609849,9408.621456670484,0.009198005016919893,48,14.666666666666666
520,0,0,9.019723568582582E12,-6.344212049736936E8,8.804731735539874E7,47508.11841479988,-5.463263794998913E8,0.8819018869286535,1800,6,60,0.011027156323284262,9512.789817147845,0.004216338846021962,52,16
560,0,0,9.048818867687342E12,-5.925529937562706E8,8.357529096530055E7,43980.931976733744,-5.089337218589977E8,0.8901710199571978,1800,6,60,-0.0051662362084871575,9602.845872085076,-0.035307204135416596,56.00000000000001,17.333333333333332
600,0,0,9.069834698477186E12,-5.55493524515683E8,7.93398208451834E7,43688.709132857184,-4.761100149613622E8,0.8973793749496819,1800,6,60,0.003784532800994471,9681.371713978459,-0.010421302449097265,60,18.666666666666664
