% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 4 2020, 15:46"
% Table,Probe Table 1 - 
% sig_b (S/m),beta (1),beta_i (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
10,0,0,1.609746697927446E11,-9.628069835223648E7,4072061.0814796374,24393.876951491548,-9.218424339380795E7,0.09757766698114013,1800,6,10,-0.06182525018666102,1024.0006420206169,-0.7251760579662582
20,0,0,5.440913834638757E11,-3.1863558272661024E8,7010154.177280687,42618.41888747638,-3.11582810130456E8,0.1688010923508136,1800,6,20,0.021249568197865228,1808.5457155139718,-1.3327114451049147
30,0,0,1.0487064997740784E12,-6.097361186239356E8,9120968.378704071,57700.66445415597,-6.005574495807574E8,0.23007852878157317,1800,6,30,0.03689450943526546,2476.085291914324,-1.8493079611489724
40,0,0,1.615267639638049E12,-9.357081202203552E8,1.0633710756028842E7,71371.2558675079,-9.250030382084688E8,0.2830496997858722,1800,6,40,0.00277738752051584,3051.1887892590585,-2.293834800295529
50,0,0,2.2080059180549526E12,-1.2762242620026474E9,1.1682699296773389E7,66384.5984852039,-1.2644751781074474E9,0.32924293745463906,1800,6,50,-0.050728217472322944,3551.91710164325,-0.0037855964084129432
60,0,0,2.8051625718103867E12,-1.618919430546014E9,1.2423861456771431E7,70306.5825152069,-1.606425262506814E9,0.36986499638357767,1800,6,60,-0.0889726676478358,3991.8443026457508,1.5893019120287382E-4
70,0,0,3.393561139848405E12,-1.9563838508229375E9,1.2927388112645835E7,72925.33555467165,-1.9433835373748474E9,0.40585660853595906,1800,6,70,-0.10755195293498107,4381.367343694117,0.002227596362362059
80,0,0,3.9654931733530386E12,-2.28425454992225E9,1.3255109422152787E7,74583.1840207953,-2.2709248573160386E9,0.43796621396145796,1800,6,80,-0.0985258270469414,4728.7015500324,0.0036772535180318216
90,0,0,4.516599107769872E12,-2.600078345969777E9,1.3451160181610828E7,75527.31427169211,-2.5865516584741163E9,0.4667866739458624,1800,6,90,-0.06538755362751006,5040.353967822653,0.006155099297077566
100,0,0,5.044720167615906E12,-2.902612988320821E9,1.3546935109994143E7,75935.94164625347,-2.888990117269423E9,0.49280106289450204,1800,6,100,-0.017356424198506384,5321.59114348336,0.008047853692763958
