% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 13 2020, 15:59"
% Table,Probe Table 1 - 
% beta_i (1),u_x (m/s),beta (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
0,300,0.5,-503197.671717987,0.14467589512241855,300,6,60,-156751.39176828388,-751092.564670701,-555.3757607723517,907288.5806782128
0,400,0.5,-894576.9467291272,0.14467587547340377,400,6,60,-278669.5812573298,-1335282.8722084211,-995.372102970229,1612957.0813627688
0,500,0.5,-1397783.8471955655,0.14467587386222963,500,6,60,-435422.6489247947,-2086378.9581027364,-1556.3629139348013,2520245.24411358
0,600,0.5,-2012807.2340096412,0.14467587471933982,600,6,60,-627008.3481907747,-3004385.3137222393,-2240.411677597773,3629153.250235346
0,700,0.5,-2739652.817602015,0.14467587522339273,700,6,60,-853427.7649021884,-4089301.999601681,-3048.8552750860526,4939680.909228772
0,800,0.5,-3578320.6249954784,0.14467587571998114,800,6,60,-1114680.911409323,-5341128.710293923,-3981.401760360725,6451828.219943016
0,900,0.5,-4528810.619450781,0.14467587599244972,900,6,60,-1410767.7715492519,-6759865.846151094,-5038.433630172127,8165595.184070145
0,1000,0.5,-5591122.843066563,0.14467587632015574,1000,6,60,-1741688.364514588,-8345512.920591463,-6219.485386225724,1.0080981799719548E7
0,1100,0.5,-6765257.245390896,0.1446758765018994,1100,6,60,-2107442.6706098174,-1.0098070448446807E7,-7525.050593781927,1.2197988068462625E7
0,1200,0.5,-8051213.851985502,0.1446758766548832,1200,6,60,-2508030.6984371548,-1.201753819543782E7,-8954.904079061947,1.4516613989795798E7
0,1300,0.5,-9448992.69104845,0.14467587684290364,1300,6,60,-2943452.4581206664,-1.4103915901295407E7,-10508.796449335641,1.7036859562966406E7
0,1400,0.5,-1.0958593733825346E7,0.14467587698805892,1400,6,60,-3413707.9376009637,-1.6357203874654617E7,-12187.02321913829,1.9758724789036788E7
0,1500,0.5,-1.258001697373523E7,0.1446758771020356,1500,6,60,-3918797.1404958577,-1.8777402109318387E7,-13989.583777954802,2.2682209666036222E7
0,1600,0.5,-1.4313262413360657E7,0.14467587720043604,1600,6,60,-4458720.062182607,-2.1364510562426496E7,-15916.427518033197,2.5807314197091173E7
0,1700,0.5,-1.615833006017422E7,0.14467587728496095,1700,6,60,-5033476.705715656,-2.411852923892675E7,-17967.563892493166,2.9134038380749952E7
0,1800,0.5,-1.8115219903306626E7,0.14467587735480636,1800,6,60,-5643067.069356894,-2.703945816983765E7,-20143.02202640692,3.2662382217167888E7
0,1900,0.5,-2.018394195301279E7,0.1446758658794486,1900,6,60,-6287496.917124346,-3.012739795869254E7,-22543.797360500932,3.639235107845654E7
0,2000,0.5,-2.2364476523160666E7,0.14467586651556658,2000,6,60,-6966755.016467467,-3.338215259977399E7,-24973.10242901784,4.032393451381278E7
