% Model,Evan_segmented_faraday_v5.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 10:57"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.09,0,0,0.18998688836767838,1800,6,60,9615237.623871325,-1.0204575869436623E8,290142.4800454124,1879.2254737554795,-1.0175373698884645E8,9.213910673862016E7,250,90
0.09,0,0.012,0.1899868898684603,1800,6,60,9615237.775703475,-1.020457589141255E8,290142.50204224023,1879.2255214402844,-1.017537371865617E8,9.213911017996183E7,250,90
0.09,1.6666666666666667,0,0.20163526356247743,1800,6,60,9269847.804014785,-1.0094084721333843E8,-361384.1461113017,246578.10874955426,-1.0105565325069952E8,9.178640254452895E7,250,90
0.09,1.6666666666666667,0.012,0.3202223416495828,1800,6,60,9420438.990645694,-3.6109741728664184E8,-2005982.9062799977,1189273.3368198187,-3.6191412685610193E8,3.5249436658519095E8,250,90
0.12,0,0,0.24808261321314717,1800,6,60,1.640462945736823E7,-1.1152817337823847E8,157240.0006159428,252.80436955660062,-1.1137068057325241E8,9.496709483236519E7,250,120
0.12,0,0.012,0.24808261203291532,1800,6,60,1.640462930162098E7,-1.1152817342770119E8,157239.9897132521,252.8043438852313,-1.113706806336437E8,9.49670915831561E7,250,120
0.12,1.6666666666666667,0,0.2478117407351887,1800,6,60,1.5852741333366822E7,-1.1080550053342226E8,-270271.6608576162,286663.95623591036,-1.1078910823804347E8,9.493738617393668E7,250,120
0.12,1.6666666666666667,0.012,0.33603008974277654,1800,6,60,1.617095862958921E7,-3.9475079909945023E8,-1218009.8664067236,1251477.6187399395,-3.9471733134711605E8,3.7854747848328036E8,250,120
0.15,0,0,0.24955842769159423,1800,6,60,1.6600416486533366E7,-1.1173567979197443E8,155146.7349369942,233.98523802997025,-1.1158029907179898E8,9.498093543206932E7,250,150
0.15,0,0.012,0.24955842751432492,1800,6,60,1.6600416462905604E7,-1.1173567979738598E8,155146.7340084814,233.9852318686647,-1.1158029907814565E8,9.49809349260018E7,250,150
0.15,1.6666666666666667,0,0.24918857435785033,1800,6,60,1.604203541096991E7,-1.1100932358801968E8,-276996.52760849864,270672.6466494312,-1.1101564746897861E8,9.497463828373253E7,250,150
0.15,1.6666666666666667,0.012,0.33639591307322886,1800,6,60,1.6363875745301165E7,-3.954473072509641E8,-1214168.1786165514,1173613.7544380436,-3.9548786167514646E8,3.7912510572637165E8,250,150
0.18,0,0,0.25088432870357047,1800,6,60,1.677730119820215E7,-1.1192215845769893E8,153389.66686745037,229.00454601401646,-1.1176853978628589E8,9.499230430831113E7,250,180
0.18,0,0.012,0.2508843270728207,1800,6,60,1.6777300979698904E7,-1.1192215852168751E8,153389.6581992448,229.00452394496236,-1.1176853985896392E8,9.499229967133307E7,250,180
0.18,1.6666666666666667,0,0.2504342731252774,1800,6,60,1.6212947603203159E7,-1.111915166877581E8,-284560.94563262584,251919.1124439783,-1.1122415852094796E8,9.501224744737624E7,250,180
0.18,1.6666666666666667,0.012,0.3367136577036744,1800,6,60,1.6538091260325242E7,-3.960673826898124E8,-1219109.4828544108,1076763.5536057933,-3.9620972861905986E8,3.796727643918811E8,250,180
0.21,0,0,0.25218563021382623,1800,6,60,1.6951810869394768E7,-1.1210668354329467E8,151782.9182235195,226.44684275832594,-1.1195467417822635E8,9.500394264076042E7,250,210
0.21,0,0.012,0.25218562297786845,1800,6,60,1.695180989723652E7,-1.1210668389294083E8,151782.86300301517,226.4467490089188,-1.1195467458318983E8,9.500392227750167E7,250,210
0.21,1.6666666666666667,0,0.2516705391226782,1800,6,60,1.6381385342405085E7,-1.1137254818081468E8,-291318.9034194102,232620.62431985367,-1.114312464599138E8,9.505090977169292E7,250,210
0.21,1.6666666666666667,0.012,0.3370831138160328,1800,6,60,1.6709825264160745E7,-3.966961785918018E8,-1210935.0185694061,972271.7212475736,-3.969348418891241E8,3.802260476249823E8,250,210
0.24,0,0,0.2534888499047614,1800,6,60,1.7127478413038597E7,-1.1229167618007521E8,150262.56637999215,224.7400321567452,-1.1214118887366337E8,9.501480001398733E7,250,240
0.24,0,0.012,0.25348884987880665,1800,6,60,1.7127478409405302E7,-1.1229167618026078E8,150262.56716497286,224.7401454737292,-1.1214118887295096E8,9.5014799930499E7,250,240
0.24,1.6666666666666667,0,0.25292098640974453,1800,6,60,1.6550767036858555E7,-1.1155460488877895E8,-297452.7356045882,214241.98152120592,-1.1163781564286084E8,9.508810697588438E7,250,240
0.24,1.6666666666666667,0.012,0.33752692164078074,1800,6,60,1.6882567734265946E7,-3.9733777306013674E8,-1192952.3320652454,869036.4686563389,-3.976616889235461E8,3.8078016683583754E8,250,240
